,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
756,NK,BWI,ATL,39.17540167,-76.66819833,33.64044444,-84.42694444
757,NK,BOS,BWI,42.3643475,-71.00517917,39.17540167,-76.66819833
758,WN,PHX,DTW,33.43416667,-112.0080556,42.21205889,-83.34883583
759,WN,PHX,EWR,33.43416667,-112.0080556,40.69249722,-74.16866056
760,WN,DAL,MSP,32.84711389,-96.85177222,44.88054694,-93.2169225
761,AA,DCA,TPA,38.85208333,-77.03772222,27.97547222,-82.53325
762,F9,DEN,BWI,39.85840806,-104.6670019,39.17540167,-76.66819833
763,F9,DEN,SAN,39.85840806,-104.6670019,32.73355611,-117.1896567
764,NK,FLL,TPA,26.07258333,-80.15275,27.97547222,-82.53325
765,WN,ATL,BOS,33.64044444,-84.42694444,42.3643475,-71.00517917
766,WN,SAN,SLC,32.73355611,-117.1896567,40.78838778,-111.9777731
767,NK,DFW,SAN,32.89595056,-97.0372,32.73355611,-117.1896567
768,NK,DTW,SAN,42.21205889,-83.34883583,32.73355611,-117.1896567
769,NK,DFW,TPA,32.89595056,-97.0372,27.97547222,-82.53325
770,WN,MCO,DCA,28.42888889,-81.31602778,38.85208333,-77.03772222
771,WN,LAX,SLC,33.94253611,-118.4080744,40.78838778,-111.9777731
772,AA,JFK,DCA,40.63975111,-73.77892556,38.85208333,-77.03772222
773,AA,MIA,DTW,25.79325,-80.29055556,42.21205889,-83.34883583
774,MQ,PHL,JFK,39.87195278,-75.24114083,40.63975111,-73.77892556
775,DL,JFK,DCA,40.63975111,-73.77892556,38.85208333,-77.03772222
776,WN,TPA,LGA,27.97547222,-82.53325,40.77724306,-73.87260917
777,WN,BWI,PDX,39.17540167,-76.66819833,45.58872222,-122.5975
778,WN,BWI,SAN,39.17540167,-76.66819833,32.73355611,-117.1896567
779,WN,ATL,SAN,33.64044444,-84.42694444,32.73355611,-117.1896567
780,F9,DEN,CLT,39.85840806,-104.6670019,35.21401111,-80.94312583
781,NK,DFW,LAX,32.89595056,-97.0372,33.94253611,-118.4080744
782,OO,SFO,DAL,37.61900194,-122.3748433,32.84711389,-96.85177222
783,UA,LAX,SEA,33.94253611,-118.4080744,47.44898194,-122.3093131
784,WN,DAL,SEA,32.84711389,-96.85177222,47.44898194,-122.3093131
785,F9,ATL,DEN,33.64044444,-84.42694444,39.85840806,-104.6670019
786,NK,LAS,LAX,36.08036111,-115.1523333,33.94253611,-118.4080744
787,DL,JFK,DEN,40.63975111,-73.77892556,39.85840806,-104.6670019
788,NK,ATL,LAX,33.64044444,-84.42694444,33.94253611,-118.4080744
789,NK,TPA,MSP,27.97547222,-82.53325,44.88054694,-93.2169225
790,B6,BOS,ATL,42.3643475,-71.00517917,33.64044444,-84.42694444
791,F9,DEN,FLL,39.85840806,-104.6670019,26.07258333,-80.15275
792,NK,DFW,ATL,32.89595056,-97.0372,33.64044444,-84.42694444
793,NK,LAS,DTW,36.08036111,-115.1523333,42.21205889,-83.34883583
794,NK,FLL,MSP,26.07258333,-80.15275,44.88054694,-93.2169225
795,NK,LAS,MSP,36.08036111,-115.1523333,44.88054694,-93.2169225
796,NK,LAX,ORD,33.94253611,-118.4080744,41.979595,-87.90446417
797,WN,MDW,PDX,41.7859825,-87.75242444,45.58872222,-122.5975
798,NK,LAX,DTW,33.94253611,-118.4080744,42.21205889,-83.34883583
799,WN,DEN,DCA,39.85840806,-104.6670019,38.85208333,-77.03772222
800,B6,JFK,DEN,40.63975111,-73.77892556,39.85840806,-104.6670019
801,B6,BOS,PHX,42.3643475,-71.00517917,33.43416667,-112.0080556
802,F9,DEN,DFW,39.85840806,-104.6670019,32.89595056,-97.0372
803,NK,TPA,LAS,27.97547222,-82.53325,36.08036111,-115.1523333
804,NK,MCO,MSP,28.42888889,-81.31602778,44.88054694,-93.2169225
805,EV,ORD,DTW,41.979595,-87.90446417,42.21205889,-83.34883583
806,WN,PHX,MCO,33.43416667,-112.0080556,28.42888889,-81.31602778
807,F9,ORD,PHX,41.979595,-87.90446417,33.43416667,-112.0080556
808,NK,MCO,LAS,28.42888889,-81.31602778,36.08036111,-115.1523333
809,NK,LAX,PHL,33.94253611,-118.4080744,39.87195278,-75.24114083
810,MQ,ORD,EWR,41.979595,-87.90446417,40.69249722,-74.16866056
811,NK,BWI,IAH,39.17540167,-76.66819833,29.98047222,-95.33972222
812,NK,IAH,LAX,29.98047222,-95.33972222,33.94253611,-118.4080744
813,NK,ORD,LGA,41.979595,-87.90446417,40.77724306,-73.87260917
814,NK,MCO,PHL,28.42888889,-81.31602778,39.87195278,-75.24114083
815,B6,JFK,SAN,40.63975111,-73.77892556,32.73355611,-117.1896567
816,MQ,LGA,DTW,40.77724306,-73.87260917,42.21205889,-83.34883583
817,WN,FLL,DCA,26.07258333,-80.15275,38.85208333,-77.03772222
818,WN,DEN,FLL,39.85840806,-104.6670019,26.07258333,-80.15275
819,MQ,JFK,BWI,40.63975111,-73.77892556,39.17540167,-76.66819833
820,WN,LAS,DTW,36.08036111,-115.1523333,42.21205889,-83.34883583
821,B6,FLL,PHL,26.07258333,-80.15275,39.87195278,-75.24114083
822,F9,ATL,MCO,33.64044444,-84.42694444,28.42888889,-81.31602778
823,F9,PHX,MCO,33.43416667,-112.0080556,28.42888889,-81.31602778
824,AS,LAX,BWI,33.94253611,-118.4080744,39.17540167,-76.66819833
825,AS,SFO,BWI,37.61900194,-122.3748433,39.17540167,-76.66819833
826,AS,LAX,PHL,33.94253611,-118.4080744,39.87195278,-75.24114083
827,B6,BOS,BWI,42.3643475,-71.00517917,39.17540167,-76.66819833
828,F9,LAS,ATL,36.08036111,-115.1523333,33.64044444,-84.42694444
829,NK,ORD,BWI,41.979595,-87.90446417,39.17540167,-76.66819833
830,NK,LAX,BWI,33.94253611,-118.4080744,39.17540167,-76.66819833
831,B6,BOS,DEN,42.3643475,-71.00517917,39.85840806,-104.6670019
832,NK,LAS,ATL,36.08036111,-115.1523333,33.64044444,-84.42694444
833,WN,LAS,MSP,36.08036111,-115.1523333,44.88054694,-93.2169225
834,B6,JFK,CLT,40.63975111,-73.77892556,35.21401111,-80.94312583
835,WN,LAX,PDX,33.94253611,-118.4080744,45.58872222,-122.5975
836,NK,LAS,BWI,36.08036111,-115.1523333,39.17540167,-76.66819833
837,NK,ORD,SAN,41.979595,-87.90446417,32.73355611,-117.1896567
838,WN,SAN,MCO,32.73355611,-117.1896567,28.42888889,-81.31602778
839,OO,SLC,LAS,40.78838778,-111.9777731,36.08036111,-115.1523333
840,AS,LAX,EWR,33.94253611,-118.4080744,40.69249722,-74.16866056
841,B6,JFK,ATL,40.63975111,-73.77892556,33.64044444,-84.42694444
842,AS,LAX,ORD,33.94253611,-118.4080744,41.979595,-87.90446417
843,B6,BOS,EWR,42.3643475,-71.00517917,40.69249722,-74.16866056
844,OO,PDX,SFO,45.58872222,-122.5975,37.61900194,-122.3748433
845,F9,DEN,DTW,39.85840806,-104.6670019,42.21205889,-83.34883583
846,NK,MCO,BOS,28.42888889,-81.31602778,42.3643475,-71.00517917
847,AA,JFK,SEA,40.63975111,-73.77892556,47.44898194,-122.3093131
848,AA,MIA,MSP,25.79325,-80.29055556,44.88054694,-93.2169225
849,B6,BOS,DTW,42.3643475,-71.00517917,42.21205889,-83.34883583
850,WN,MDW,IAD,41.7859825,-87.75242444,38.94453194,-77.45580972
851,WN,SAN,SEA,32.73355611,-117.1896567,47.44898194,-122.3093131
852,AS,SFO,IAD,37.61900194,-122.3748433,38.94453194,-77.45580972
853,F9,LAS,SAN,36.08036111,-115.1523333,32.73355611,-117.1896567
854,NK,MSP,BWI,44.88054694,-93.2169225,39.17540167,-76.66819833
855,NK,DFW,BWI,32.89595056,-97.0372,39.17540167,-76.66819833
856,NK,LAS,DEN,36.08036111,-115.1523333,39.85840806,-104.6670019
857,NK,DFW,LGA,32.89595056,-97.0372,40.77724306,-73.87260917
858,NK,ORD,PHX,41.979595,-87.90446417,33.43416667,-112.0080556
859,NK,DFW,SEA,32.89595056,-97.0372,47.44898194,-122.3093131
860,DL,MSP,IAD,44.88054694,-93.2169225,38.94453194,-77.45580972
861,B6,MCO,DCA,28.42888889,-81.31602778,38.85208333,-77.03772222
862,B6,BOS,ORD,42.3643475,-71.00517917,41.979595,-87.90446417
863,B6,JFK,PHX,40.63975111,-73.77892556,33.43416667,-112.0080556
864,OO,MSP,ORD,44.88054694,-93.2169225,41.979595,-87.90446417
865,F9,LAS,SLC,36.08036111,-115.1523333,40.78838778,-111.9777731
866,WN,BWI,SEA,39.17540167,-76.66819833,47.44898194,-122.3093131
867,UA,SFO,MSP,37.61900194,-122.3748433,44.88054694,-93.2169225
868,OO,SFO,MSP,37.61900194,-122.3748433,44.88054694,-93.2169225
869,OO,ORD,BWI,41.979595,-87.90446417,39.17540167,-76.66819833
870,AS,LAX,JFK,33.94253611,-118.4080744,40.63975111,-73.77892556
871,B6,BOS,SEA,42.3643475,-71.00517917,47.44898194,-122.3093131
872,UA,LAS,BOS,36.08036111,-115.1523333,42.3643475,-71.00517917
873,UA,EWR,DTW,40.69249722,-74.16866056,42.21205889,-83.34883583
874,UA,IAH,MSP,29.98047222,-95.33972222,44.88054694,-93.2169225
875,B6,MCO,EWR,28.42888889,-81.31602778,40.69249722,-74.16866056
876,B6,SLC,FLL,40.78838778,-111.9777731,26.07258333,-80.15275
877,EV,IAH,DFW,29.98047222,-95.33972222,32.89595056,-97.0372
878,B6,DFW,BOS,32.89595056,-97.0372,42.3643475,-71.00517917
879,B6,FLL,SFO,26.07258333,-80.15275,37.61900194,-122.3748433
880,B6,BOS,SLC,42.3643475,-71.00517917,40.78838778,-111.9777731
881,B6,LAS,FLL,36.08036111,-115.1523333,26.07258333,-80.15275
882,WN,TPA,DCA,27.97547222,-82.53325,38.85208333,-77.03772222
883,MQ,ORD,ATL,41.979595,-87.90446417,33.64044444,-84.42694444
884,B6,TPA,BOS,27.97547222,-82.53325,42.3643475,-71.00517917
885,MQ,ORD,DTW,41.979595,-87.90446417,42.21205889,-83.34883583
886,B6,BOS,SAN,42.3643475,-71.00517917,32.73355611,-117.1896567
887,OO,JFK,ORD,40.63975111,-73.77892556,41.979595,-87.90446417
888,F9,IAH,MCO,29.98047222,-95.33972222,28.42888889,-81.31602778
889,OO,MSP,PHL,44.88054694,-93.2169225,39.87195278,-75.24114083
